ID	Document Title	Authors	Publication Title	Publication Date	Abstract	Keywords							
1	Broadband Sub-Wavelength Profile High-Gain Antennas Based on Multi-Layer Metasurfaces	Konstantinidis, K.; Feresidis, A.P.; Hall, P.S.	Antennas and Propagation, IEEE Transactions on	20141231	A method for designing sub-wavelength-profile and broadband high-gain planar antennas is presented. A novel multi-layer periodic array design is proposed for sub-wavelength Fabry-Perot cavity type antennas with enhanced bandwidth performance. Three double-sided periodic arrays are designed and optimized, each double-sided array consisting of a capacitive artificial impedance surface (AIS) and an inductive partially reflective surface (PRS) printed on either side of a dielectric substrate. They are placed at about sixth of a wavelength from a ground plane and from each other. Thus, three air cavities are created with a total profile of $lambda/2$ . The proposed antenna has been simulated using CST Microwave Studio and measured achieving 16.9 dBi directivity with 10.7% 3 dB bandwidth. The gain-bandwidth product of the proposed designs outperforms any previous Fabry-Perot antenna design with this profile.	Artificial impedance surface;Fabry-Perot cavity;leaky-wave antennas;partially reflective surfaces,Antenna measurements;Arrays;Bandwidth;Broadband antennas;Cavity resonators;Reflection							
2	Parallel Style-Aware Image Cloning for Artworks	Zhao, Y.; Jin, X.; Xu, Y.; Zhao, H.; Ai, M.; Zhou, K.	Visualization and Computer Graphics, IEEE Transactions on	20141230	We present style-aware image cloning, a novel image editing approach for artworks, which allows users to seamlessly insert any photorealistic or artificial objects into an artwork to create a new image that shares the same artistic style with the original artwork. To this end, a real-time image transfer algorithm is developed to stylize the cloned object according to a distance metric based on the artistic styles and semantic information. Several interactive functions, such as layering, shadowing, semantic labeling, and direction field editing, are provided to enhance the harmonization of the composite image. Extensive experimental results demonstrate the effectiveness of our method.	GPU;Non-photorealistic rendering;image editing;image stylization;seamless cloning;style transfer,Cloning;Coherence;Image color analysis;Measurement;Real-time systems;Semantics;Vectors							
3	Improved thermal stability and electrical properties of atomic layer deposited HfO2/AlN high-k gate dielectric stacks on GaAs	Cao, Yan-Qiang; Li, Xin; Zhu, Lin; Cao, Zheng-Yi; Wu, Di; Li, Ai-Dong	Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films	20141211	The thermal stability and electrical properties of atomic layer deposited HfO2/AlN high-k gate dielectric stacks on GaAs were investigated. Compared to HfO2/Al2O3 gate dielectric, significant improvements in interfacial quality as well as electrical characteristics after postdeposition annealing are confirmed by constructing HfO2/AlN dielectric stacks. The chemical states were carefully explored by the x-ray photoelectron spectroscopy, which indicates the AlN layers effectively prevent from the formation of defective native oxides at elevated temperatures. In addition, it is found that NH3 plasma during AlN plasma-enhanced atomic layer deposition also has the self-cleaning effect as Al(CH3)3 in removing native oxides. The passivating AlN layers suppress the formation of interfacial oxide and trap charge, leading to the decrease of capacitance equivalent thickness after annealing. Moreover, HfO2/AlN/GaAs sample has a much lower leakage current density of 2.23 � 10?4 A/cm2 than HfO2/Al2O3/GaAs sample of 2.58 � 10?2 A/cm2. For the HfO2/AlN/GaAs sample annealed at 500 �C, it has a lowest interface trap density value of 2.11 � 1011 eV?1 cm?2. These results indicate that adopting HfO2/AlN dielectric stacks may be a promising approach for the realization of high quality GaAs-based transistor devices.								
4	Impact of buffer sizing on energy efficiency and performance	Ai, T.; Wijeratne, V.; Wahid, A.A.	Networks, IET	20141222	Internet router buffers are commonly made very large with the aim of minimising losses and maximising link utilisation, supported by the ever-decreasing cost of memory. However, large packet queues not only increase the energy consumption, but can also adversely affect network performance which has recently been attracting attention under ﾑbufferbloatﾒ. This study compares the buffer-related energy consumption of two models, that is, ﾑlarge-buffer with onﾖoff serverﾒ and ﾑsmall-buffer with always-on serverﾒ in the presence of multiplexed onﾖoff traffic and FTP traffic; and demonstrates that the latter model is more energy efficient. Further analysis is then carried out on the ﾑsmall-buffer model with always-on serverﾒ for the evaluation of its performance against different levels of energy consumption. Relationships among energy, delay, throughput and loss are studied in a range of scenarios, quantifying the variations in performance metrics in relation to energy consumption. In general, lower buffer sizes which reduce the energy consumption were found to improve delay, but sacrifice throughput by 5ﾖ8% at high load. Based on a broad set of results, this study provides guidelines for sizing router buffers in realistic networks which would lead to optimal trade-offs between energy consumption and quality of service.	Internet;packet switching;queueing theory;telecommunication network routingFTP traffic;Internet router buffers;always on server;buffer related energy consumption;buffer sizing;bufferbloat;energy efficiency;link utilisation;multiplexed on-off traffic;network performance;packet queues;performance metrics;quality of service;realistic networks;small buffer model							
5	Erratum to ﾓOptimizing Template for Lookup-Table Inverse Halftoning using Elitist Genetic Algorithmﾔ	Wen, Z.-Q.; Lu, Y.-L.; Zeng, Z.-G.; Zhu, W.-Q.; Ai, J.-H.	Signal Processing Letters, IEEE	20141015		,Clustering algorithms;Computers;Educational institutions;Genetic algorithms;Signal processing algorithms							
6	Optimizing Template for Lookup-Table Inverse Halftoning using Elitist Genetic Algorithm	Zhi-Qiang Wen; Yong-Le Lu; Zhi-Gao Zeng; Wen-Qiu Zhu; Jun-Hua Ai	Signal Processing Letters, IEEE	20140821	A template optimization method based on elitist genetic algorithm was proposed for lookup-table inverse halftoning. A mathematical model with constraint conditions was built to describe the template optimization problem. We solved this optimization problem by using elitist genetic algorithm and designed the details about encoding and decoding scheme, selection and reproduce, crossover, mutation, elitist strategy and fitness function according to the proposed optimization model. In experiments, we demonstrated the performance on Floyd-Steinberg error diffusion, Jarvis-Judice error diffusion, cluster dither, Bayer disperse dither and dot diffusion halftone images. According to our experiment study, our method approaches to the optimal result closer than the greedy algorithm and simulated annealing do. We suggested L = 10 on cluster dither images but L = 5 on other four kinds of halftone images.	Elitist genetic algorithm;inverse halftoning;lookup table;template optimization,Genetic algorithms;Image reconstruction;Optimization;PSNR;Sociology;Statistics;Table lookup,decoding;genetic algorithms;image coding;image restoration;mathematical analysis;pattern clustering;table lookupBayer disperse dither;Floyd-Steinberg error diffusion;Jarvis-Judice error diffusion;cluster dither;decoding scheme;dot diffusion halftone imaging;elitist genetic algorithm;encoding scheme;image restoration;lookup-table inverse halftoning;mathematical model;simulated annealing;template optimization method							
7	An Integrated System for Regional Environmental Monitoring and Management Based on Internet of Things	Shifeng Fang; Li Da Xu; Yunqiang Zhu; Jiaerheng Ahati; Huan Pei; Jianwu Yan; Zhihui Liu	Industrial Informatics, IEEE Transactions on	20140502	Climate change and environmental monitoring and management have received much attention recently, and an integrated information system (IIS) is considered highly valuable. This paper introduces a novel IIS that combines Internet of Things (IoT), Cloud Computing, Geoinformatics [remote sensing (RS), geographical information system (GIS), and global positioning system (GPS)], and e-Science for environmental monitoring and management, with a case study on regional climate change and its ecological effects. Multi-sensors and Web services were used to collect data and other information for the perception layer; both public networks and private networks were used to access and transport mass data and other information in the network layer. The key technologies and tools include real-time operational database (RODB); extraction-transformation-loading (ETL); on-line analytical processing (OLAP) and relational OLAP (ROLAP); naming, addressing, and profile server (NAPS); application gateway (AG); application software for different platforms and tasks (APPs); IoT application infrastructure (IoT-AI); GIS and e-Science platforms; and representational state transfer/Java database connectivity (RESTful/JDBC). Application Program Interfaces (APIs) were implemented in the middleware layer of the IIS. The application layer provides the functions of storing, organizing, processing, and sharing of data and other information, as well as the functions of applications in environmental monitoring and management. The results from the case study show that there is a visible increasing trend of the air temperature in Xinjiang over the last 50 years (1962-2011) and an apparent increasing trend of the precipitation since the early 1980s. Furthermore, from the correlation between ecological indicators [gross primary production (GPP), net primary production (NPP), and leaf area index (LAI)] and meteorological elements (air temperature and precipitation), water resource availability is the decisi- e factor with regard to the terrestrial ecosystem in the area. The study shows that the research work is greatly benefited from such an IIS, not only in data collection supported by IoT, but also in Web services and applications based on cloud computing and e-Science platforms, and the effectiveness of monitoring processes and decision-making can be obviously improved. This paper provides a prototype IIS for environmental monitoring and management, and it also provides a new paradigm for the future research and practice; especially in the era of big data and IoT.	Big data;Internet of Things (IoT);climate change;cloud computing;e-Science;enterprise systems;environmental monitoring and management;geoinformatics;industrial informatics;system integration,Data models;Environmental monitoring;Informatics;Internet;Meteorology,Global Positioning System;Internet of Things;Java;Web services;application program interfaces;atmospheric precipitation;climate mitigation;cloud computing;data mining;ecology;environmental management;environmental monitoring (geophysics);geographic information systems;middleware;relational databases;remote sensing;sensor fusion;water resourcesAG;API;APP;ETL;GIS;GPP;GPS;IIS;Internet of Things;IoT application infrastructure;IoT-AI;LAI;NAPS;NPP;RESTful/JDBC;RODB;ROLAP;RS;Web services;Xinjiang;air temperature;application gateway;application layer;application program interfaces;application software;cloud computing;data collection;data organization;data processing;data sharing;data storage;decision-making;e-science platforms;ecological effects;ecological indicators;extraction-transformation-loading;geographical information system;geoinformatics;global positioning system;gross primary production;information collection;integrated information system;leaf area index;mass data access;mass data transport;meteorological elements;middleware layer;multisensors;naming-addressing-and-profile server;net primary production;network layer;online analytical processing;perception layer;precipitation;private networks;public networks;real-time operational database;regional climate change;regional environmental management;regional environmental monitoring;relational OLAP;remote sensing;representational state transfer/Java database connectivity;terrestrial ecosystem;water resource availability							
8	Study of stacked-emitter layer for high efficiency amorphous/crystalline silicon heterojunction solar cells	Lee, Youngseok; Kim, Heewon; Iftiquar, S.M.; Kim, Sunbo; Kim, Sangho; Ahn, Shihyun; Lee, Youn-Jung; Dao, Vinh Ai; Yi, Junsin	Journal of Applied Physics	20150105	A modified emitter, of stacked two layer structure, was investigated for high-efficiency amorphous/crystalline silicon heterojunction (HJ) solar cells. Surface area of the cells was 181.5 cm2. The emitter was designed to achieve a high open circuit voltage (Voc) and fill factor (FF). When doping of the emitter layer was increased, it was observed that the silicon dihydride related structural defects within the films increased, and the Voc of the HJ cell decreased. On the other hand, while the doping concentration of the emitter was reduced the FF of the cell reduced. Therefore, a combination of a high conductivity and low defects of a single emitter layer appears difficult to obtain, yet becomes necessary to improve the cell performance. So, we investigated a stacked-emitter with low-doped/high-doped double layer structure. A low-doped emitter with reduced defect density was deposited over the intrinsic hydrogenated amorphous silicon passivation layer, while the high-doped emitter with high conductivity was deposited over the low-doped emitter. The effects of doping and defect density of the emitter, on the device performance, were elucidated by using computer simulation and an optimized device structure was formulated. The simulation was performed with the help of Automat for the Simulation of Heterostructures simulation software. Finally, based on the simulation results, amorphous/crystalline heterojunction silicon solar cells were optimized by reducing density of defect states in the stacked-emitter structure and we obtained 725 mV, 77.41%, and 19.0% as the open-circuit voltage, fill factor, and photo-voltaic conversion efficiency of the device, respectively.								
9	IEEE Transactions on Computational Intelligence and AI in Games publication information		Computational Intelligence and AI in Games, IEEE Transactions on	20140612	Provides a listing of current staff, committee members and society officers.								
10	Observation of Three Bound States From a Topological Insulator Mode-Locked Soliton Fiber Laser	Ai-Ping Luo; Hao Liu; Nian Zhao; Xu-Wu Zheng; Meng Liu; Rui Tang; Zhi-Chao Luo; Wen-Cheng Xu	Photonics Journal, IEEE	20140819	We report on the generation of three types of bound states in a topological insulator-based mode-locked fiber laser. Benefiting from the excellent performance of the polyvinyl alcohol-based topological insulator saturable absorber (SA), we have achieved three types of bound solitons. The bound states exhibit different features both in spectra and autocorrelation traces, which was found to be caused by the different peak intensities and pulsewidths of two closed pulses within the bound states. The experimental phenomena were further confirmed by the numerical simulations. The results reveal an alternative method to roughly estimate the constructed solitons within bound states and indicate that the topological insulator could serve as a highly nonlinear SA for observing soliton dynamics in fiber lasers.	Topological insulator;bound solitons;fiber lasers;passive mode-locking,Correlation;Fiber lasers;Laser mode locking;Modulation;Optical fiber devices;Optical fiber polarization;Solitons,bound states;fibre lasers;laser mode locking;optical solitons;topological insulatorsautocorrelation traces;bound states;mode-locked soliton fiber laser;polyvinyl alcohol;saturable absorber;topological insulator							
